ix,iy,x_m,y_m,Lx1_m,Ly1_m,gap_m,Lx2_m,Ly2_m,x2_m,height_m,cost
1,38,-1.2825e-05,3.375e-06,3e-07,1.8e-07,1e-07,2.5e-07,2e-07,1.25e-07,6.3e-07,0.410484701345803
1,39,-1.2825e-05,3.825e-06,3e-07,1.8e-07,1e-07,2.5e-07,2e-07,1.25e-07,6.3e-07,0.246609186625367
1,40,-1.2825e-05,4.275e-06,2e-07,1.8e-07,1e-07,2e-07,2e-07,5e-08,6.3e-07,0.154220411206169
1,41,-1.2825e-05,4.725e-06,3e-07,1.75e-07,1e-07,1.75e-07,2e-07,8.75e-08,6.3e-07,0.168522148507896
1,42,-1.2825e-05,5.175e-06,3e-07,1.75e-07,1e-07,1.75e-07,2e-07,8.75e-08,6.3e-07,0.096327362616187
1,43,-1.2825e-05,5.625e-06,3e-07,1.75e-07,1.1e-07,2.25e-07,2e-07,1.225e-07,6.3e-07,0.365863506615722
1,44,-1.2825e-05,6.075e-06,2.5e-07,1.75e-07,1e-07,2.25e-07,2e-07,8.75e-08,6.3e-07,0.486500375440205
1,45,-1.2825e-05,6.525e-06,2.25e-07,1.75e-07,1e-07,1.5e-07,2e-07,3.75e-08,6.3e-07,0.515282917775686
1,46,-1.2825e-05,6.975e-06,2.75e-07,1.75e-07,1e-07,2e-07,2e-07,8.75e-08,6.3e-07,0.656689778337964
1,47,-1.2825e-05,7.425e-06,2e-07,1.8e-07,1.2e-07,1.75e-07,2e-07,5.75e-08,6.3e-07,0.52489053243816
1,48,-1.2825e-05,7.875e-06,2.5e-07,1.75e-07,1e-07,2.5e-07,2e-07,1e-07,6.3e-07,0.803615316089292
1,49,-1.2825e-05,8.325e-06,3e-07,1.75e-07,1.1e-07,1.5e-07,2e-07,8.5e-08,6.3e-07,0.187511082240043
1,50,-1.2825e-05,8.775e-06,2.5e-07,1.7e-07,1e-07,1.75e-07,2e-07,6.25e-08,6.3e-07,0.252179691570358
1,51,-1.2825e-05,9.225e-06,2.75e-07,1.75e-07,1.1e-07,2.25e-07,2e-07,1.1e-07,6.3e-07,0.39324484272934
1,52,-1.2825e-05,9.675e-06,2e-07,1.7e-07,1.1e-07,2e-07,2e-07,6e-08,6.3e-07,0.0808404448432897
1,53,-1.2825e-05,1.0125e-05,2.75e-07,1.75e-07,1.1e-07,2e-07,2e-07,9.75e-08,6.3e-07,0.718888468676445
